N,M,Result,Time
1000,1000,6,0.019000

1024,1025,6,0.023000

1048,1049,6,0.023000

1072,1072,6,0.024000

1095,1095,6,0.024000

1118,1118,6,0.026000

1140,1140,6,0.027000

1161,1162,6,0.029000

1183,1183,6,0.029000

1204,1204,6,0.030000

1224,1225,6,0.031000

1244,1245,6,0.033000

1264,1265,6,0.033000

1284,1285,7,0.035000

1303,1304,7,0.035000

1322,1323,6,0.038000

1341,1342,6,0.037000

1360,1360,6,0.038000

1378,1378,6,0.039000

1396,1396,6,0.040000

1414,1414,6,0.042000

1431,1432,7,0.042000

1449,1449,7,0.044000

1466,1466,6,0.045000

1483,1483,6,0.046000

1500,1500,7,0.046000

1516,1517,6,0.048000

1532,1533,6,0.049000

1549,1549,6,0.050000

1565,1565,6,0.052000

1581,1581,7,0.053000

1596,1597,6,0.053000

1612,1612,7,0.055000

1627,1628,7,0.058000

1643,1643,7,0.057000

1658,1658,7,0.058000

1673,1673,7,0.060000

1688,1688,6,0.061000

1702,1703,7,0.061000

1717,1718,7,0.062000

1732,1732,7,0.063000

1746,1746,7,0.064000

1760,1761,7,0.066000

1774,1775,7,0.067000

1788,1789,7,0.068000

1802,1803,7,0.070000

1816,1817,7,0.070000

1830,1830,7,0.071000

1843,1844,7,0.073000

1857,1857,7,0.074000

1870,1871,7,0.075000

1884,1884,7,0.076000

1897,1897,7,0.078000

1910,1910,7,0.078000

1923,1924,7,0.080000

1936,1936,6,0.080000

1949,1949,7,0.081000

1962,1962,7,0.083000

1974,1975,7,0.084000

1987,1987,7,0.085000

2000,2000,6,0.086000

2012,2012,7,0.087000

2024,2025,7,0.088000

2037,2037,7,0.090000

2049,2049,7,0.091000

2061,2062,7,0.091000

2073,2074,7,0.094000

2085,2086,7,0.093000

2097,2098,7,0.095000

2109,2110,7,0.096000

2121,2121,7,0.097000

2133,2133,7,0.099000

2144,2145,7,0.099000

2156,2156,7,0.102000

2167,2168,7,0.101000

2179,2179,7,0.102000

2190,2191,7,0.105000

2202,2202,7,0.105000

2213,2214,7,0.107000

2224,2225,7,0.107000

2236,2236,7,0.106000

2247,2247,7,0.110000

2258,2258,7,0.111000

2269,2269,7,0.112000

2280,2280,6,0.112000

2291,2291,7,0.113000

2302,2302,7,0.116000

2313,2313,7,0.118000

2323,2324,6,0.117000

2334,2335,7,0.119000

2345,2345,7,0.118000

2355,2356,7,0.124000

2366,2366,7,0.123000

2376,2377,7,0.123000

2387,2387,7,0.124000

2397,2398,7,0.127000

2408,2408,7,0.126000

2418,2419,7,0.129000

2428,2429,7,0.129000

2439,2439,7,0.131000

2449,2449,7,0.132000

2459,2460,7,0.131000

2469,2470,7,0.135000

2479,2480,6,0.132000

2489,2490,7,0.136000

2500,2500,7,0.138000

2509,2510,7,0.139000

2519,2520,6,0.136000

2529,2530,7,0.140000

2539,2540,7,0.141000

2549,2550,7,0.143000

2559,2559,7,0.143000

2569,2569,7,0.145000

2578,2579,7,0.145000

2588,2588,7,0.149000

2598,2598,7,0.146000

2607,2608,7,0.151000

2617,2617,7,0.151000

2626,2627,7,0.162000

2636,2636,7,0.151000

2645,2646,7,0.153000

2655,2655,7,0.155000

2664,2665,7,0.154000

2673,2674,7,0.158000

2683,2683,7,0.160000

2692,2693,7,0.160000

2701,2702,7,0.164000

2711,2711,7,0.163000

2720,2720,4,0.154000

2729,2729,7,0.164000

2738,2739,7,0.163000

2747,2748,7,0.167000

2756,2757,7,0.167000

2765,2766,7,0.166000

2774,2775,7,0.169000

2783,2784,2,0.133000

2792,2793,7,0.172000

2801,2802,7,0.172000

2810,2811,7,0.170000

2819,2820,7,0.174000

2828,2828,7,0.177000

2837,2837,7,0.190000

2846,2846,7,0.177000

2854,2855,7,0.180000

2863,2864,6,0.179000

2872,2872,7,0.182000

2880,2881,7,0.184000

2889,2890,7,0.183000

2898,2898,7,0.184000

2906,2907,7,0.177000

2915,2915,7,0.186000

2924,2924,7,0.190000

2932,2933,7,0.189000

2941,2941,7,0.190000

2949,2950,7,0.190000

2958,2958,7,0.194000

2966,2966,7,0.193000

2974,2975,7,0.195000

2983,2983,7,0.198000

2991,2992,6,0.195000

3000,3000,7,0.199000

3008,3008,2,0.154000

3016,3017,7,0.204000

3024,3025,7,0.202000

3033,3033,7,0.203000

3041,3041,7,0.203000

3049,3050,7,0.204000

3057,3058,7,0.207000

3065,3066,7,0.208000

3074,3074,7,0.210000

3082,3082,7,0.210000

3090,3090,7,0.210000

3098,3098,7,0.213000

3106,3106,8,0.214000

3114,3114,7,0.214000

3122,3122,7,0.217000

3130,3130,7,0.217000

3138,3138,7,0.219000

3146,3146,7,0.218000

3154,3154,7,0.221000

3162,3162,7,0.222000

N,M,Result,Time
3162,3162,7,0.223000

3872,3873,8,0.336000

4472,4472,6,0.440000

5000,5000,6,0.555000

5477,5477,8,0.679000

5916,5916,7,0.767000

6324,6325,8,0.891000

6708,6708,8,1.005000

7071,7071,8,1.132000

7416,7416,6,1.214000

7745,7746,7,1.334000

8062,8062,8,1.473000

8366,8367,8,1.584000

8660,8660,8,1.696000

8944,8944,2,1.358000

9219,9220,8,1.901000

9486,9487,6,1.861000

9746,9747,8,2.133000

10000,10000,2,1.697000

N,M,Result,Time,Approximation
3162,3162,7,0.679000,27048913.107511

3872,3873,8,1.035000,26772511.111111

4472,4472,6,1.333000,27393868.717179

5000,5000,6,1.675000,27481929.552239

5477,5477,8,2.102000,26711041.864891

N,M,Result,Time,Approximation
3162,3162,7,0.656000,27997274.390244

3872,3873,8,1.043000,26567161.073826

4472,4472,6,1.321000,27642715.367146

5000,5000,6,1.656000,27797241.545894

5477,5477,8,2.032000,27631205.708661

5916,5916,7,2.526000,25442687.648456

6324,6325,8,2.654000,27906183.496609

6708,6708,8,3.043000,27474354.584292

7071,7071,8,4.484000,20913925.066905

7416,7416,6,3.687000,27617295.362083

7745,7746,7,4.026000,27716171.137606

8062,8062,8,4.542000,26999956.627037

8366,8367,8,4.828000,27160640.016570

8660,8660,8,5.212000,27238342.095165

8944,8944,2,4.319000,27542301.458671

9219,9220,8,19.126000,8344329.237687

9486,9487,6,6.518000,24340266.492789

9746,9747,8,6.385000,28162417.384495

10000,10000,2,5.023000,29655584.312164

